id,roll_num,date_str,title,manuscripts,pdf_source,pdf_pages,is_verified,num_stops,year
5689,1,S.d.,"1 4 OniginalF [penlu. B Micchea Bsjez StaatsbibL, Clm 8112,fol 116.~ C. Karlsruhe; Badische Landesbibl , Rastatt 22, W9l-D Mien Ostenreichische Nationalbibl , lat. 751, fol. 49 (milieu du IX"" s.) . JL Tenc Bonifatius; p 181, nP 81. 6R. Rau, Briefe des Bonifatius. Binifatius . Darmstedt, 1968, p 270,n"" 81. Willibalds Leben des Ixurcros '(ellerznde)  R. Rau;  op. cit , P 271. Ivie: 1 Ebncz _ Klästerlichen ,  Gebets-Verbrüderungen, E p. 77, n. 1. Crie oafralerniié v institution p Imile C chronologiques ( Ktuliona typignement anglo-saxonne = selon règne d'Aelfwald (2) . Fexpression &E. Ewig (, a (Chrismon)  3 Domino  Bonifacio = 'gloriosissimo et cum omni achiepiscopo fretus Aelbwaldus; honoris affectu venerantissimo imul et tota abbatia Aestanglorum Deo prorinciz cum donante regia potestate salutem omni In primis congregationi  servorum Dei in nostra itaque scire te Si volumus; 0 dilectissime; quod És Chrodegang franqpe ' et la "" dans réforme Gsarakolion E Saint de Chrodegang sa mort, Jle: ` 'pésentées € Metz. 0 1967, p 32. [occasion Q du Qu icolloque ! tenu C R. à Rau. douzième € op. cit.. p 271, n. 1 ; Hand- centenaire , book de 0f British chronology. p 9",,Dufour T1 (1),"2,3",0,0,
5690,2,S.d.,"gratanter accepimus nostram parvitatem tam, ut sicut vestra benignitas de vestris sanctis orationibus commenda- duitatibus Deo instigantgndiesadit ,miasanuoq uollempnitatibus % orationumc assi- implere conetur memoriaque ita quoque nostra mediocritas devota mente rum sinaxis nominis vestri in septenis monasteriocvon perpetua lege censeri debet, nostro- designantur.  His itaque bene quia in septenario numero perfecti sepe 5 rite compositis et defnterioves oonposit isabi Deo adjuvante de animarum regulis substantiae amminicula; hominis habitu apte condictis exteriora terreneque que sub nostra potestate Deo largiente redacta sunt, sub vestre voluntatis arbitrio contineri volumus, ita tamen rg oracioeuact nostrarum adjutoria per benivolentiam almitatis vestre in rcclesiis Dei sicut te pastorem in populo suo predistinatio frequentare faciatis. Et   10 Dei fieri voluit; ita et nos patronum te sentire satagemus.  Nomina quoque defunctorum et viam universalem' ingre- dientium; prout oportunitas anni exigerit, ex utraque parte adducetur 3 S.d. [750-754,5 juin] 15 Communication de noms de défunts entre Montecassino et Mainz. A. Original perdu. B. Wien, Üsterreichische Nationalbibl , lat. 751, fol. 71 (milieu du IX"" s). 0 . M. G. H., EpP , III, P. 393. 6. M. Tangl, Bonifatius, P. 231, n' 106. 6. R. Rau, Briefe des Bonifatius. Willibalds Leben des Bonifatius Darmstadt, 1968, P 334, n? 106 (ann; 751). 20 TRADUCTION (allemande) R. Rau, op. cit., P. 335. INDIQuÉ B. Haeftenus; Commemoratio defunctorum; P. 793.~K. Hallinger; Corpus consuetudinum monasticarum, t. I, Siegburg, 1963, P. 314. Boniface (mort le 5 juin 754) demande à Optatus, abbé de Monte Cassino (750-760), la gråce , dela charité fraternelle quand ils se communiqueront les noms de leurs défunts 25 vraa",,Dufour T1 (1),"2,3",0,0,
5691,3,S.d.,"gratanter accepimus nostram parvitatem tam, ut sicut vestra benignitas de vestris sanctis orationibus commenda- duitatibus Deo instigantgndiesadit ,miasanuoq uollempnitatibus % orationumc assi- implere conetur memoriaque ita quoque nostra mediocritas devota mente rum sinaxis nominis vestri in septenis monasteriocvon perpetua lege censeri debet, nostro- designantur.  His itaque bene quia in septenario numero perfecti sepe 5 rite compositis et defnterioves oonposit isabi Deo adjuvante de animarum regulis substantiae amminicula; hominis habitu apte condictis exteriora terreneque que sub nostra potestate Deo largiente redacta sunt, sub vestre voluntatis arbitrio contineri volumus, ita tamen rg oracioeuact nostrarum adjutoria per benivolentiam almitatis vestre in rcclesiis Dei sicut te pastorem in populo suo predistinatio frequentare faciatis. Et   10 Dei fieri voluit; ita et nos patronum te sentire satagemus.  Nomina quoque defunctorum et viam universalem' ingre- dientium; prout oportunitas anni exigerit, ex utraque parte adducetur 3 S.d. [750-754,5 juin] 15 Communication de noms de défunts entre Montecassino et Mainz. A. Original perdu. B. Wien, Üsterreichische Nationalbibl , lat. 751, fol. 71 (milieu du IX"" s). 0 . M. G. H., EpP , III, P. 393. 6. M. Tangl, Bonifatius, P. 231, n' 106. 6. R. Rau, Briefe des Bonifatius. Willibalds Leben des Bonifatius Darmstadt, 1968, P 334, n? 106 (ann; 751). 20 TRADUCTION (allemande) R. Rau, op. cit., P. 335. INDIQuÉ B. Haeftenus; Commemoratio defunctorum; P. 793.~K. Hallinger; Corpus consuetudinum monasticarum, t. I, Siegburg, 1963, P. 314. Boniface (mort le 5 juin 754) demande à Optatus, abbé de Monte Cassino (750-760), la gråce , dela charité fraternelle quand ils se communiqueront les noms de leurs défunts 25 vraa",,Dufour T1 (1),"2,3",0,0,
5692,5,S.d.,"gratanter accepimus nostram parvitatem tam, ut sicut vestra benignitas de vestris sanctis orationibus commenda- duitatibus Deo instigantgndiesadit ,miasanuoq uollempnitatibus % orationumc assi- implere conetur memoriaque ita quoque nostra mediocritas devota mente rum sinaxis nominis vestri in septenis monasteriocvon perpetua lege censeri debet, nostro- designantur.  His itaque bene quia in septenario numero perfecti sepe 5 rite compositis et defnterioves oonposit isabi Deo adjuvante de animarum regulis substantiae amminicula; hominis habitu apte condictis exteriora terreneque que sub nostra potestate Deo largiente redacta sunt, sub vestre voluntatis arbitrio contineri volumus, ita tamen rg oracioeuact nostrarum adjutoria per benivolentiam almitatis vestre in rcclesiis Dei sicut te pastorem in populo suo predistinatio frequentare faciatis. Et   10 Dei fieri voluit; ita et nos patronum te sentire satagemus.  Nomina quoque defunctorum et viam universalem' ingre- dientium; prout oportunitas anni exigerit, ex utraque parte adducetur 3 S.d. [750-754,5 juin] 15 Communication de noms de défunts entre Montecassino et Mainz. A. Original perdu. B. Wien, Üsterreichische Nationalbibl , lat. 751, fol. 71 (milieu du IX"" s). 0 . M. G. H., EpP , III, P. 393. 6. M. Tangl, Bonifatius, P. 231, n' 106. 6. R. Rau, Briefe des Bonifatius. Willibalds Leben des Bonifatius Darmstadt, 1968, P 334, n? 106 (ann; 751). 20 TRADUCTION (allemande) R. Rau, op. cit., P. 335. INDIQuÉ B. Haeftenus; Commemoratio defunctorum; P. 793.~K. Hallinger; Corpus consuetudinum monasticarum, t. I, Siegburg, 1963, P. 314. Boniface (mort le 5 juin 754) demande à Optatus, abbé de Monte Cassino (750-760), la gråce , dela charité fraternelle quand ils se communiqueront les noms de leurs défunts 25 vraa",,Dufour T1 (1),"2,3,4,5,6",0,0,
5693,4,S.d.,"A. Werminghoff, Concilía aevi Merovingici . Cl Karolini ( M. G H, Conc), t.II, 1,1906,1 CARTES P. 72. K; Schmid; J Wollasch, Gemeinschaft Saint ' Chrodegang < et la réforme dc [Églíse der Lebenden und Verstorbenen; P. 407. franque E. Ewig, dans Saint présentées au colloque tenu à Metz, à Coccasion_ Chrodegang Communications entre les p. 34 et 35. K. Schmid, 0.G. du douzième centenaire de sa mort; Metz, Oexle, Auigny, pl. 34. 1967, [NDıQuÉ Hefelé /Leclercg; 5 III, 2 p. 952 ~K. Schmid, I Wollasch , und Verstorbenen, P. 371-372. E Cemcinschaft der Lebenden Ewig; op. cil , p. 28* =J. P. 34. Dufour; S. Remi de Reims, K. Schmid, 0. G. Oexle; Attigny P. 309. 4 1",,Dufour T1 (1),"3,4",0,0,
5694,6,S.d.,"gus abbas de Gemedico.  Withlecus= abbas de Centula.  Leodharius (4)  abbas de Funtanellas   Witmarus (3) abbas de Corbeia. niaco. Asinarius (6) Manase (5) abbas de Flavi- abbas de Novalicio. Waldo gaudus (8) abbas de Sancto Johanne. Rabi- abbas de Busbrunno   Godobertus ( , tus (10) abbas de Fabarias.   Widradus Míý abbas de Rasbacis.   Athalber- dus (12 , abbas de Aldaha. Geraus 03, abbas de Sancta Columba   Ebarsin- 5 Utico: abbas de Niviella. Ragingarius (14 , abbas de S.d. [vers 769.770] Statuts dune association de prières pour les défunts établis lors du concile bavarois de 10 Dingolfing A. Original perdu. B. München, Bayer. StaatsbibL , Clm 6243, foL. 238v (VIII-IXS s) . C München, Bayer: Staatsbibl , Clm 9415, P. 226 (XI ) D. München, Bayer Staatsbibl , Clm 5260, fol. 28v (XII' s) E. München, Baycr. Staatsbibl , Clm 3519,fol. 37 (XIIS s.) . 15 (1) Abbé de Jumièges  (753-762) cf. J La- porte, * Les listes abbatiales de Jumièges * dans Jumièges. Congrès scientifique du XIII cente- naire Rouen, 10-12 juin 1954), Rouen; 1955, I, P. 452. (2) Abbé de S. Wandrille; cité par le Gallia christiana (L. XI, col. 172) de 753 à 787. (3) Abbé de S. Riquier (761-766) ; cf. F: Lot, Hariulf   Chronique de labbaye de S. Riquier (V 1104 ) , Paris, 1894, p. 43, n. 1;0 Guitmar (saint) % dans  DHGE, XXII, col. 1131 (J. Pycke). Abbé de Corbie (750-765) qui notamment obtient un diplôme de Pépin le Bref (éd. L.Le- villain, Examen critique des chartes mérovin- 3l6 Abbé de Flavigny [-sur-Ozerain] (755- novembre 787) ; cf.* Flavigny * dans DHGE, t. XVII, coL 404 (J. Marilicr). Abbé de Novalesa (t avant 773) . Abbé de [Moutiers-]S. Jean   (762) cf. Gallia christiana, t. IV, col. 659. (8)   Abbé de Buxbrunn.  Cette identification m'a été aimablement indiquée par M. Parisse. Abbé de Rebais (762) cl. Gallia chris- tiana, t. VIII, col. 1681. (0) Abbé de Pfäfers   (762) ce. Helvetia sacra, t. III, 1, P. 993.994 . (11)  Abbé de S. Colombe de Sens (762) cf. Callia christiana, L. XII, col. 146. (12)} Abbé   de   Niederaltaich   (741-765) cf. ormanin Lenedictinn 9 103",,Dufour T1 (1),"4,5,6,7",0,0,
5695,7,S.d.,"S.d. [après 769.770] Lettre circulaire adressée par Adalpert à Virgilius évêque [de Salzburg] , pour annoncer le décès du moine Cundolt, survenu le 10 octobre. A. Original perdu. 0 Monumenta boica, t. XIV, p 351. 6. A. Ebner; Klösterlichen Gebels-[ -Verbruderungen, p 78, n. 2- [NDIQUÉ W: Hauthaler; [Salzburg] Nonnberg; P. 215. J Keplinger; [Salaburg} S. Peter, P. 80. U Arco-Zinneberg Seitenstetten, 1477, p. 12. Ce document   est  probablement   postérieur au concile de Dingolfing (vers 769.770), au cours 10 duquel évêques et abbés présents décidèrent de nouer entre eux des liens spirituels réciproques et à la suite duqucl Virgilius fit rédiger ! le Liber vitae de S. Peter de Sakzburg Epistula funebris.",,Dufour T1 (1),"6,7",0,0,
5696,8,S.d.,"S.d. [après 769.770] Lettre circulaire adressée par Adalpert à Virgilius évêque [de Salzburg] , pour annoncer le décès du moine Cundolt, survenu le 10 octobre. A. Original perdu. 0 Monumenta boica, t. XIV, p 351. 6. A. Ebner; Klösterlichen Gebels-[ -Verbruderungen, p 78, n. 2- [NDIQUÉ W: Hauthaler; [Salzburg] Nonnberg; P. 215. J Keplinger; [Salaburg} S. Peter, P. 80. U Arco-Zinneberg Seitenstetten, 1477, p. 12. Ce document   est  probablement   postérieur au concile de Dingolfing (vers 769.770), au cours 10 duquel évêques et abbés présents décidèrent de nouer entre eux des liens spirituels réciproques et à la suite duqucl Virgilius fit rédiger ! le Liber vitae de S. Peter de Sakzburg Epistula funebris.",,Dufour T1 (1),"6,7,8,9",0,0,
5697,9,S.d.,"Domino dignissime venerando Lullae episcopo vereor; episcopus Wentanae civitatis Cineheardus indignus, salutem _ ut vestrorum Nomina quoque presbyterorum diaconorumque ac monachorum vel misistis; per monasteria et monacharum sive ceterorum, que per ecclesias nostrae diocesis direximus ad celebrane dum pro eis missarum sollemnia et orationum suffragia. Id ipsum facere vestram sanctitatem suppliciter exoramus 5 pro eis, quorum nomina vobis habemus diri- genda et nominatim cum personis suis 'scribenda, atque huic ecclesiae; cui servio; amicissimi eorum scilicet qui mihi proprie vel subditi fiebant vel prelati . 10 S.d. [774-vers 786] 10 Première formule de bref mortuaire à lusage de Murbach . A. Original perdu. B.Sankt Gallen, Stiftsbibl., 550, P. 149 (IX' &.). a,E. dc Rozière, Formules inédites, publiees &après un ms.de S.Gall, Paris, 1853, p. 22, n"" 30,~b. E. de Rozière, Formules, 2 partie, P. 952, 2"" 680. c. K. Zeumer; Formulae merowingici et 15 karolini aevi ( M. G. H, Leges), P. 331, Formulae Morbacenses, n? 7. IvDIQUÉ M. Rothenhäuser; K. Beyerle, Die Regel des hL. Benedikt, das Gesetz des Inselklosters und scine Veruncklichung % dans Die Kultur der Abtei Reichenau. Erinnerungsschrift zum zwölfhundertsten Wiederkehr des Grundungsjahres des Inselklosters, 724-1924, Munchen, L. 1, 1925, P. 300. 20 Pour K. Zeumer (loc. cil) celte formule peut être placée sous l'abbatiat d'Amico (774-vers 786) .",,Dufour T1 (1),"7,8,9",0,0,
5698,10,S.d.,"Domino dignissime venerando Lullae episcopo vereor; episcopus Wentanae civitatis Cineheardus indignus, salutem _ ut vestrorum Nomina quoque presbyterorum diaconorumque ac monachorum vel misistis; per monasteria et monacharum sive ceterorum, que per ecclesias nostrae diocesis direximus ad celebrane dum pro eis missarum sollemnia et orationum suffragia. Id ipsum facere vestram sanctitatem suppliciter exoramus 5 pro eis, quorum nomina vobis habemus diri- genda et nominatim cum personis suis 'scribenda, atque huic ecclesiae; cui servio; amicissimi eorum scilicet qui mihi proprie vel subditi fiebant vel prelati . 10 S.d. [774-vers 786] 10 Première formule de bref mortuaire à lusage de Murbach . A. Original perdu. B.Sankt Gallen, Stiftsbibl., 550, P. 149 (IX' &.). a,E. dc Rozière, Formules inédites, publiees &après un ms.de S.Gall, Paris, 1853, p. 22, n"" 30,~b. E. de Rozière, Formules, 2 partie, P. 952, 2"" 680. c. K. Zeumer; Formulae merowingici et 15 karolini aevi ( M. G. H, Leges), P. 331, Formulae Morbacenses, n? 7. IvDIQUÉ M. Rothenhäuser; K. Beyerle, Die Regel des hL. Benedikt, das Gesetz des Inselklosters und scine Veruncklichung % dans Die Kultur der Abtei Reichenau. Erinnerungsschrift zum zwölfhundertsten Wiederkehr des Grundungsjahres des Inselklosters, 724-1924, Munchen, L. 1, 1925, P. 300. 20 Pour K. Zeumer (loc. cil) celte formule peut être placée sous l'abbatiat d'Amico (774-vers 786) .",,Dufour T1 (1),"7,8,9",0,0,
